ID,Country of Origin,Country_clean,Region,Region_clean,Farm Name,Producer,Company,Variety,Variety_clean,Processing Method,Processing_Method_clean,Processing_Method_group,Harvest Year,Harvest_Year_start,Harvest_Year_end,Harvest_Year_display,Altitude_raw,Altitude_pattern,Altitude_clean,Altitude_final,Altitude_flag_low,Altitude_flag_high,Altitude_flag_suspect_feet,Altitude_meters_if_feet,Total Cup Points,Quality_Grade,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Category Two Defects,Quakers,Color
0,Colombia,Colombia,"Piendamo,Cauca","Piendamo,Cauca",Finca El Paraiso,Diego Samuel Bermudez,Coffee Quality Union,Castillo,Castillo,Double Anaerobic Washed,Double Anaerobic Washed,Washed / Wet Family,2021 / 2022,2021,2022,2022,1700-1930,range_dash,1815.0,1815.0,False,False,False,,89.33,Very Good (85-89.99),8.58,8.5,8.42,8.58,8.25,8.42,8.58,10.0,10.0,10.0,11.8,0,3,0,green
1,Taiwan,Taiwan,Chiayi,Chiayi,Royal Bean Geisha Estate,曾福森,Taiwan Coffee Laboratory,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,87.58,Very Good (85-89.99),8.5,8.5,7.92,8.0,7.92,8.25,8.5,10.0,10.0,10.0,10.5,0,0,0,blue-green
2,Laos,Laos,Laos Borofen Plateau,Laos Borofen Plateau,OKLAO coffee farms,WU TAO CHI,Taiwan Coffee Laboratory,Java,Java,Semi Washed,Semi Washed,Washed / Wet Family,2021 / 2022,2021,2022,2022,1300,single_value,1300.0,1300.0,False,False,False,,87.42,Very Good (85-89.99),8.33,8.42,8.08,8.17,7.92,8.17,8.33,10.0,10.0,10.0,10.4,0,2,0,yellowish
3,Costa Rica,Costa Rica,"Los Santos,Tarrazu","Los Santos,Tarrazu",La Cumbre,Santa Maria de Dota,Coffee Quality Union,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1900,single_value,1900.0,1900.0,False,False,False,,87.17,Very Good (85-89.99),8.08,8.17,8.17,8.25,8.17,8.08,8.25,10.0,10.0,10.0,11.8,0,0,0,green
4,Colombia,Colombia,"Popayan,Cauca","Popayan,Cauca",Finca Santuario,Camilo Merizalde,Coffee Quality Union,Red Bourbon,Red Bourbon,"Honey,Mossto","Honey,Mossto",Honey / Pulped Natural Family,2022,2022,2022,2022,1850-2100,range_dash,1975.0,1975.0,False,False,False,,87.08,Very Good (85-89.99),8.33,8.33,8.08,8.25,7.92,7.92,8.25,10.0,10.0,10.0,11.6,0,2,2,yellow-green
5,Guatemala,Guatemala,Chimaltenango,Chimaltenango,La Colina,Emilio Antonio Medina Garcia,Taiwan Coffee Laboratory,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1668,single_value,1668.0,1668.0,False,False,False,,87.0,Very Good (85-89.99),8.33,8.33,8.25,7.83,7.83,8.17,8.25,10.0,10.0,10.0,10.7,0,2,0,green
6,Taiwan,Taiwan,Chiayi,Chiayi,野牡丹咖啡莊園 Melastoma Coffee Estate,黃保錫,Taiwan Coffee Laboratory,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1250,single_value,1250.0,1250.0,False,False,False,,86.92,Very Good (85-89.99),8.33,8.17,8.08,8.0,7.83,8.25,8.25,10.0,10.0,10.0,9.1,0,0,0,green
7,Taiwan,Taiwan,Chiayi,Chiayi,七彩琉璃咖啡莊園 Chi Tsai Liu Li Ecological Farm,莊家榮,Taiwan Coffee Laboratory,Sl34+Gesha,Sl34+Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,86.75,Very Good (85-89.99),8.25,8.25,8.17,8.0,7.92,8.08,8.08,10.0,10.0,10.0,10.0,0,1,0,yellow green
8,Taiwan,Taiwan,Chiayi,Chiayi,亮軒咖啡莊園 Liang Xuan Coffee Farm,鍾旭亮,Taiwan Coffee Laboratory,SL34,SL34,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1250,single_value,1250.0,1250.0,False,False,False,,86.67,Very Good (85-89.99),8.08,8.08,8.25,8.08,7.92,8.0,8.25,10.0,10.0,10.0,10.8,0,0,0,greenish
9,"Tanzania, United Republic Of","Tanzania, United Republic Of",KILIMANJARO,KILIMANJARO,MASHIMA AMCOS,DORMAN (T) LIMITED,DORMAN (T) LIMITED,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1400-1700,range_dash,1550.0,1550.0,False,False,False,,86.5,Very Good (85-89.99),8.08,8.17,8.08,8.17,8.0,8.0,8.0,10.0,10.0,10.0,11.0,0,0,0,greenish
10,Ethiopia,Ethiopia,Guji,Guji,TADE GG,Tesfaye Bekele Degaga,"Marubeni corp.,",Ethiopian Heirlooms,Ethiopian Heirlooms,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1800-2200,range_dash,2000.0,2000.0,False,False,False,,86.25,Very Good (85-89.99),8.08,8.25,8.0,8.08,7.92,7.92,8.0,10.0,10.0,10.0,11.8,0,1,1,greenish
11,Guatemala,Guatemala,Acatenango,Acatenango,Karen Acajabon Coffee Farm,Karen Acajabon,Taiwan Coffee Laboratory,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021,2021,2021,2021,2000,single_value,2000.0,2000.0,False,False,False,,86.25,Very Good (85-89.99),8.08,8.0,8.0,7.75,8.25,8.17,8.0,10.0,10.0,10.0,11.5,0,1,0,brownish
12,Taiwan,Taiwan,Yunlin,Yunlin,古峰咖啡莊園 Goodfun Coffee Farm,賴彥合,Taiwan Coffee Laboratory,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1250,single_value,1250.0,1250.0,False,False,False,,86.25,Very Good (85-89.99),8.08,8.0,8.08,8.08,8.0,8.0,8.0,10.0,10.0,10.0,11.9,0,0,0,green
13,Ethiopia,Ethiopia,Guji,Guji,Gelana Geisha,Kerchanshe,Kerchanshe Trading PLC,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1900-2000,range_dash,1950.0,1950.0,False,False,False,,86.17,Very Good (85-89.99),7.67,8.17,8.0,8.33,8.0,8.0,8.0,10.0,10.0,10.0,11.6,0,2,3,yellow- green
14,Colombia,Colombia,tolima,tolima,La Gaitania,Josue Enciso Suarez,Taiwan Coffee Laboratory,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1850,single_value,1850.0,1850.0,False,False,False,,86.17,Very Good (85-89.99),8.08,8.0,8.08,7.92,8.08,8.0,8.0,10.0,10.0,10.0,10.6,0,0,0,green
15,Taiwan,Taiwan,Chiayi,Chiayi,青葉咖啡莊園,葉世遠,Taiwan Coffee Laboratory,SL34,SL34,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2021 / 2022,2021,2022,2022,1100,single_value,1100.0,1100.0,False,False,False,,86.08,Very Good (85-89.99),8.17,8.08,8.0,7.92,8.0,7.92,8.0,10.0,10.0,10.0,10.2,0,0,0,green
16,Ethiopia,Ethiopia,"Gedeb,Yirgacheffe,Sidamo","Gedeb,Yirgacheffe,Sidamo",Halo Bariti Cooprative,Halo Bariti Cooprative,Coffee Quality Union,"Wolishalo,Kurume,Dega","Wolishalo,Kurume,Dega",Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1900-2100,range_dash,2000.0,2000.0,False,False,False,,86.08,Very Good (85-89.99),8.17,8.08,7.92,8.17,7.75,7.92,8.08,10.0,10.0,10.0,11.3,0,2,2,green
17,Taiwan,Taiwan,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)","Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",東璧咖啡莊園,陳景立,Dongbi coffee,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2022,2022,2022,2022,1300,single_value,1300.0,1300.0,False,False,False,,86.08,Very Good (85-89.99),8.0,8.17,8.0,7.92,7.92,7.92,8.17,10.0,10.0,10.0,10.3,0,0,0,yellow-green
18,Taiwan,Taiwan,"Gukeng Township, Yunlin County","Gukeng Township, Yunlin County",櫻桃果古坑咖啡莊園,王瀅惠,宸嶧國際有限公司,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,85.92,Very Good (85-89.99),8.08,8.17,7.75,7.92,7.83,8.0,8.17,10.0,10.0,10.0,11.0,0,1,0,brownish
19,"Tanzania, United Republic Of","Tanzania, United Republic Of",Arusha,Arusha,BURKA,DORMAN (T) LIMITED,DORMAN (T) LIMITED,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1570-1600,range_dash,1585.0,1585.0,False,False,False,,85.83,Very Good (85-89.99),8.17,8.0,7.92,7.92,8.17,7.75,7.92,10.0,10.0,10.0,10.0,0,0,0,greenish
20,Guatemala,Guatemala,"Guatemala, Fraijanes, Santa Rosa","Guatemala, Fraijanes, Santa Rosa",Finca Vista Hermosa,Fredy Orantes,Taiwan Coffee Laboratory,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1900,single_value,1900.0,1900.0,False,False,False,,85.75,Very Good (85-89.99),8.0,7.92,8.08,7.92,7.75,8.0,8.08,10.0,10.0,10.0,11.6,0,0,0,yellowish
21,Taiwan,Taiwan,卓溪鄉Zhuoxi Township,卓溪鄉Zhuoxi Township,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,游婷淯 YU TING YU,Taiwan Coffee Laboratory,Typica,Typica,Natural / Dry,Natural / Dry,Natural / Dry Family,2022,2022,2022,2022,850,single_value,850.0,850.0,False,False,False,,85.67,Very Good (85-89.99),8.08,8.0,7.92,7.92,8.0,7.83,7.92,10.0,10.0,10.0,10.4,0,0,0,green
22,Thailand,Thailand,Chiang Mai,Chiang Mai,Hom Doi,Lisu farmers,Lyrose,Catimor,Catimor,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2021 / 2022,2021,2022,2022,1500-1700,range_dash,1600.0,1600.0,False,False,False,,85.67,Very Good (85-89.99),7.67,8.0,7.83,8.0,8.08,8.0,8.08,10.0,10.0,10.0,9.8,0,5,0,browish-green
23,Colombia,Colombia,Quindio,Quindio,El Diamante,Farm Bedoya Arango,Coffee Quality Union,Castillo Paraguaycito,Castillo Paraguaycito,,Unknown,Unknown,2022,2022,2022,2022,1350,single_value,1350.0,1350.0,False,False,False,,85.67,Very Good (85-89.99),8.08,8.0,7.83,8.17,7.75,7.83,8.0,10.0,10.0,10.0,11.3,0,2,0,brownish
24,Taiwan,Taiwan,Yunlin,Yunlin,永舜咖啡莊園,蘇甘永,Taiwan Coffee Laboratory,SL34,SL34,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1250,single_value,1250.0,1250.0,False,False,False,,85.58,Very Good (85-89.99),7.83,8.0,7.92,8.0,8.0,7.92,7.92,10.0,10.0,10.0,10.6,0,0,0,bluish-green
25,Brazil,Brazil,Região Vulcânica,Região Vulcânica,Fazenda Recreio,Diogo T. Dias de Macedo,"WIT wealth, investments & trust",,Unknown,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2022,2022,2022,2022,1250,single_value,1250.0,1250.0,False,False,False,,85.5,Very Good (85-89.99),7.83,8.08,7.83,7.92,8.0,7.83,8.0,10.0,10.0,10.0,11.3,2,3,0,green
26,Taiwan,Taiwan,Chiayi,Chiayi,鄒築園ZouZhouYuan,方政倫,Taiwan Coffee Laboratory,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1300,single_value,1300.0,1300.0,False,False,False,,85.5,Very Good (85-89.99),7.92,7.92,8.0,7.92,7.83,7.92,8.0,10.0,10.0,10.0,9.1,0,2,0,green
27,Taiwan,Taiwan,Yunlin,Yunlin,嵩岳咖啡莊園,郭志豪,Taiwan Coffee Laboratory,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,85.5,Very Good (85-89.99),8.17,8.08,7.92,8.0,7.58,7.83,7.92,10.0,10.0,10.0,10.6,0,0,0,green
28,Taiwan,Taiwan,Chiayi,Chiayi,他扶芽有機農園,陳清龍,Taiwan Coffee Laboratory,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1060,single_value,1060.0,1060.0,False,False,False,,85.5,Very Good (85-89.99),8.0,8.0,8.0,7.92,7.75,7.92,7.92,10.0,10.0,10.0,10.2,0,0,0,blue-green
29,United States (Hawaii),United States (Hawaii),Kona,Kona,Hokukano Ranch,Kona Hills LLC,Taiwan Coffee Laboratory,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,600,single_value,600.0,600.0,False,False,False,,85.42,Very Good (85-89.99),8.0,7.92,8.0,7.83,7.67,8.0,8.0,10.0,10.0,10.0,9.3,0,0,0,green
30,Taiwan,Taiwan,壽豐鄉Shoufeng Township,壽豐鄉Shoufeng Township,鄉庭有機農場Siang-Ting Organic Farm,張進義Zhang Jin-Yi,Taiwan Coffee Laboratory,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,150-250,range_dash,200.0,200.0,False,False,False,,85.42,Very Good (85-89.99),8.0,8.0,7.83,7.83,7.75,7.92,8.08,10.0,10.0,10.0,11.4,0,0,0,bluish-green
31,Taiwan,Taiwan,壽豐鄉Shoufeng Township,壽豐鄉Shoufeng Township,鄉庭有機農場Siang-Ting Organic Farm,張進義Zhang Jin-Yi,Taiwan Coffee Laboratory,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,150-250,range_dash,200.0,200.0,False,False,False,,85.33,Very Good (85-89.99),7.92,8.0,7.83,7.92,7.83,7.83,8.0,10.0,10.0,10.0,10.8,0,0,0,green
32,Taiwan,Taiwan,"Dongshan Dist., Tainan City","Dongshan Dist., Tainan City",金讚咖啡農莊園(Jinzan Coffee Estate),"葉明讚 (YE,MING-ZAN)",Taiwan Coffee Laboratory,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,668,single_value,668.0,668.0,False,False,False,,85.33,Very Good (85-89.99),8.08,8.17,7.67,7.83,7.67,7.92,8.0,10.0,10.0,10.0,11.3,0,0,0,green
33,Ethiopia,Ethiopia,Oromia,Oromia,Eshetu farm,Eshetu,Alo Coffee,Ethiopian Heirlooms,Ethiopian Heirlooms,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1950,single_value,1950.0,1950.0,False,False,False,,85.33,Very Good (85-89.99),7.67,7.83,7.83,8.0,8.0,8.0,8.0,10.0,10.0,10.0,9.9,0,3,2,green
34,Ethiopia,Ethiopia,Southern Ethiopia Guji,Southern Ethiopia Guji,Uraga Bisrat washing station,Bisrat Melaku,TADESSE DESTA IMPORT & EXPORT,Ethiopian Heirlooms,Ethiopian Heirlooms,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,2150 - 2350,range_dash,2250.0,2250.0,False,False,False,,85.33,Very Good (85-89.99),8.0,8.08,8.0,8.0,7.67,7.75,7.83,10.0,10.0,10.0,12.3,0,4,3,yellow green
35,Ethiopia,Ethiopia,OROMIA,OROMIA,YHAENU PLC FARM,YHAENU PLC,yhaenu plc,Ethiopian Heirlooms,Ethiopian Heirlooms,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1700,single_value,1700.0,1700.0,False,False,False,,85.25,Very Good (85-89.99),7.92,7.75,7.83,8.17,8.0,7.75,7.83,10.0,10.0,10.0,9.4,0,1,1,greenish
36,Taiwan,Taiwan,Chiayi,Chiayi,卓武山咖啡農場,許定燁,Taiwan Coffee Laboratory,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,85.25,Very Good (85-89.99),8.0,7.92,7.83,7.92,7.83,7.83,7.92,10.0,10.0,10.0,9.5,0,0,0,bluish-green
37,Taiwan,Taiwan,"Dongshan Dist., Tainan City","Dongshan Dist., Tainan City",御香咖啡園 YU SIANG Coffee Estate,"陳建源(CHEN, JIAN-YUAN)",Taiwan Coffee Laboratory,Gesha,Gesha,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2022,2022,2022,2022,650,single_value,650.0,650.0,False,False,False,,85.25,Very Good (85-89.99),8.25,8.08,7.83,7.75,7.67,7.75,7.92,10.0,10.0,10.0,11.3,0,0,0,green
38,Kenya,Kenya,Central,Central,Small Holder,Small Holder,IBERO (K) LTD,SL28,SL28,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1600-1900,range_dash,1750.0,1750.0,False,False,False,,85.25,Very Good (85-89.99),8.17,7.75,7.83,7.58,7.92,8.0,8.0,10.0,10.0,10.0,9.2,0,1,0,greenish
39,Taiwan,Taiwan,"Caoling , Gukeng Township, Yunlin County","Caoling , Gukeng Township, Yunlin County",皇庭咖啡莊園,陳榮豐,宸嶧國際有限公司,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2017 / 2018,2017,2018,2018,850,single_value,850.0,850.0,False,False,False,,85.17,Very Good (85-89.99),7.75,7.92,7.75,8.0,7.83,7.92,8.0,10.0,10.0,10.0,10.3,0,0,0,bluish-green
40,Taiwan,Taiwan,秀林鄉Show Linxia Township,秀林鄉Show Linxia Township,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,李志祥 Li Zhi-xia,Taiwan Coffee Laboratory,Typica,Typica,Natural / Dry,Natural / Dry,Natural / Dry Family,2022,2022,2022,2022,300-500,range_dash,400.0,400.0,False,False,False,,85.08,Very Good (85-89.99),8.0,7.92,7.83,7.92,7.75,7.75,7.92,10.0,10.0,10.0,10.0,0,0,0,brownish
41,Taiwan,Taiwan,台灣屏東,台灣屏東,八一高地,陳科翰,茂泰生技股份有限公司,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1000,single_value,1000.0,1000.0,False,False,False,,85.08,Very Good (85-89.99),8.0,8.08,7.67,7.75,7.92,7.83,7.83,10.0,10.0,10.0,10.5,0,0,0,greenish
42,Taiwan,Taiwan,苗栗縣,苗栗縣,香夾蘭莊園,黃簡秋蘭,Taiwu Coffee Cooperative,Gesha,Gesha,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,800,single_value,800.0,800.0,False,False,False,,85.08,Very Good (85-89.99),8.0,7.92,7.67,8.0,7.75,7.83,7.92,10.0,10.0,10.0,10.0,0,5,0,pale yellow
43,Uganda,Uganda,Rwenzori,Rwenzori,Gideon Kule,Kyagalanyi coffee limited,Kyagalanyi Coffee Limited,SL14,SL14,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1905,single_value,1905.0,1905.0,False,False,False,,85.0,Very Good (85-89.99),8.0,7.92,7.75,7.75,7.75,7.92,7.92,10.0,10.0,10.0,11.0,0,1,0,green
44,Taiwan,Taiwan,壽豐鄉Shoufeng Township,壽豐鄉Shoufeng Township,愛姬咖啡莊園iGfarm,劉孟宗 LIU MENG TSUNG,Taiwan Coffee Laboratory,Typica,Typica,,Unknown,Unknown,2021 / 2022,2021,2022,2022,150,single_value,150.0,150.0,True,False,False,,85.0,Very Good (85-89.99),7.92,8.0,7.92,8.0,7.58,7.75,7.83,10.0,10.0,10.0,10.9,0,0,0,green
45,Taiwan,Taiwan,Yunlin,Yunlin,青山坪咖啡農場,王清連,Taiwan Coffee Laboratory,Gesha,Gesha,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,800,single_value,800.0,800.0,False,False,False,,85.0,Very Good (85-89.99),8.17,8.08,7.83,7.67,7.67,7.75,7.83,10.0,10.0,10.0,10.1,0,0,0,yellow green
46,Guatemala,Guatemala,Antigua,Antigua,varias fincas,Varios productores,"Peter Schoenfeld, S.A.",Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1600,single_value,1600.0,1600.0,False,False,False,,85.0,Very Good (85-89.99),7.67,8.08,7.67,8.0,7.92,7.83,7.83,10.0,10.0,10.0,9.9,0,1,1,green
47,Guatemala,Guatemala,Santa Rosa,Santa Rosa,PEÑA BLANCA,PABLO CHUY,"OLAM AGRO GUATEMALA, S.A.",Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,4700,single_value,4700.0,1432.5600000000002,False,True,True,1432.5600000000002,85.0,Very Good (85-89.99),7.67,8.0,7.75,7.92,8.0,7.83,7.83,10.0,10.0,10.0,11.3,0,4,0,green
48,Guatemala,Guatemala,quiche,quiche,san francisco cotzal,san francisco cotzal,"inmobiliaria e inversiones dos mil, s.a.",Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1600,single_value,1600.0,1600.0,False,False,False,,84.92,Good (80-84.99),7.83,7.92,7.75,8.0,7.75,7.75,7.92,10.0,10.0,10.0,11.7,0,1,3,green
49,Taiwan,Taiwan,新竹縣,新竹縣,六曲窩,黃俊淦,Taiwu Coffee Cooperative,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,350-400,range_dash,375.0,375.0,False,False,False,,84.92,Good (80-84.99),7.92,7.92,7.83,7.83,7.75,7.83,7.83,10.0,10.0,10.0,9.5,0,2,0,green
