ID,Country of Origin,Country_clean,Region,Region_clean,Farm Name,Producer,Company,Variety,Variety_clean,Processing Method,Processing_Method_clean,Processing_Method_group,Harvest Year,Harvest_Year_start,Harvest_Year_end,Harvest_Year_display,Altitude_raw,Altitude_pattern,Altitude_clean,Altitude_final,Altitude_flag_low,Altitude_flag_high,Altitude_flag_suspect_feet,Altitude_meters_if_feet,Total Cup Points,Quality_Grade,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Category Two Defects,Quakers,Color
155,Nicaragua,Nicaragua,ESTELI,ESTELI,Finca Las Dos Marias,NicaNoLA Coffee,NicaNoLA Coffee,Parainema,Parainema,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1350,single_value,1350.0,1350.0,False,False,False,,82.58,Good (80-84.99),7.5,7.58,7.42,7.58,7.5,7.58,7.42,10.0,10.0,10.0,10.1,0,0,0,green
156,El Salvador,El Salvador,Apaneca - Ilamatepec,Apaneca - Ilamatepec,Agua Caliente,"J.J. Borja Nathan, S.A.",Consejo Salvadoreño del Café,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.5,Good (80-84.99),7.67,7.33,7.17,7.67,7.83,7.5,7.33,10.0,10.0,10.0,11.3,0,2,0,green
157,Panama,Panama,Boquete,Boquete,Finca Lerida,Finca Lerida,Panamerican Coffee Trading,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.5,Good (80-84.99),7.75,7.67,7.17,7.67,7.42,7.42,7.42,10.0,10.0,10.0,10.0,0,0,0,green
158,Brazil,Brazil,MANTIQUEIRA / SUL DE MINAS,MANTIQUEIRA / SUL DE MINAS,Fazenda Pedra Preta,Eduardo Niero de Souza,Man Volcafe Brasil Ltda.,Mundo Novo,Mundo Novo,Natural / Dry,Natural / Dry,Natural / Dry Family,2022 / 2023,2022,2023,2022,1100,single_value,1100.0,1100.0,False,False,False,,82.5,Good (80-84.99),7.5,7.58,7.5,7.5,7.67,7.42,7.33,10.0,10.0,10.0,11.8,0,1,1,bluish-green
159,United States (Hawaii),United States (Hawaii),Kona,Kona,Kainaliu Farm,Kainaliu-Kona Coffee Company,Taiwan Coffee Laboratory,Maragogype,Maragogype,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,640,single_value,640.0,640.0,False,False,False,,82.5,Good (80-84.99),7.33,7.58,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,11.7,0,1,0,blue-green
160,Mexico,Mexico,Veracruz,Veracruz,Las Trincheras,Jose Cienfuegos,Taiwan Coffee Laboratory,Pacamara,Pacamara,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1340,single_value,1340.0,1340.0,False,False,False,,82.5,Good (80-84.99),7.67,7.42,7.5,7.5,7.67,7.42,7.33,10.0,10.0,10.0,10.7,0,0,0,pale yellow
161,Honduras,Honduras,"Centro, Lagunetillas - Ajuterique, Comayagua","Centro, Lagunetillas - Ajuterique, Comayagua",La Cuchilla,Fausto Nahun Maldonado,Mercon Honduras,Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1368,single_value,1368.0,1368.0,False,False,False,,82.5,Good (80-84.99),7.58,7.58,7.33,7.5,7.58,7.42,7.5,10.0,10.0,10.0,10.6,0,8,0,green
162,Taiwan,Taiwan,新竹縣,新竹縣,弘欣咖啡園,胡明杰,Taiwu Coffee Cooperative,unknown,unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,139,single_value,139.0,139.0,True,False,False,,82.5,Good (80-84.99),7.42,7.42,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,8.4,0,2,0,green
163,Nicaragua,Nicaragua,"Matagalpa, Nicaragua","Matagalpa, Nicaragua",Finca Aurora,Sabio Coffee - Enrique Ferrufino & Tania Ferrufino,Mr.Brown Cafe,Caturra-Catuai,Caturra-Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200-1350,range_dash,1275.0,1275.0,False,False,False,,82.42,Good (80-84.99),7.58,7.58,7.42,7.42,7.5,7.5,7.42,10.0,10.0,10.0,11.4,0,0,0,bluish-green
164,Vietnam,Vietnam,Dalat,Dalat,Apollo Estate,"Yeh,Li Chuan","Sunvirtue Co., Ltd.",Catimor,Catimor,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1040,single_value,1040.0,1040.0,False,False,False,,82.33,Good (80-84.99),7.5,7.5,7.33,7.5,7.5,7.42,7.58,10.0,10.0,10.0,10.5,0,0,0,bluish-green
165,El Salvador,El Salvador,Apaneca - Ilamatepec,Apaneca - Ilamatepec,Agua Caliente,"J.J. Borja Nathan, S.A.",Consejo Salvadoreño del Café,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.33,Good (80-84.99),7.5,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,12.0,0,10,7,green
166,El Salvador,El Salvador,Apaneca - Ilamatepec,Apaneca - Ilamatepec,Agua Caliente,"J.J. Borja Nathan, S.A.",Consejo Salvadoreño del Café,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.33,Good (80-84.99),7.33,7.67,7.25,7.67,7.83,7.42,7.17,10.0,10.0,10.0,11.8,0,0,0,bluish-green
167,Taiwan,Taiwan,新竹縣,新竹縣,寶山謐靚,宋煦仁,Taiwu Coffee Cooperative,unknown,unknown,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,140,single_value,140.0,140.0,True,False,False,,82.33,Good (80-84.99),7.67,7.58,7.42,7.5,7.33,7.42,7.42,10.0,10.0,10.0,10.8,0,1,0,green
168,Peru,Peru,"Chanchamayo, La Merced","Chanchamayo, La Merced",Fundo La Libertado,Sand Crispin Espiritu,Itochu Corporation,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1600,single_value,1600.0,1600.0,False,False,False,,82.25,Good (80-84.99),7.67,7.5,7.33,7.58,7.33,7.42,7.42,10.0,10.0,10.0,11.7,0,3,1,greenish
169,United States (Hawaii),United States (Hawaii),Kona district of Big Island,Kona district of Big Island,Manny's Farm,Manny Ochoa,Taiwan Coffee Laboratory,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.17,Good (80-84.99),7.75,7.42,7.33,7.5,7.33,7.5,7.33,10.0,10.0,10.0,10.6,1,5,0,green
170,Kenya,Kenya,Kericho,Kericho,Kenyan Highlands,Slelected small holder,Coffee Quality Union,"SL28,SL34,Ruiru11","SL28,SL34,Ruiru11",Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1500-1950,range_dash,1725.0,1725.0,False,False,False,,82.17,Good (80-84.99),7.5,7.5,7.42,7.5,7.25,7.5,7.5,10.0,10.0,10.0,11.2,0,2,0,green
171,Honduras,Honduras,"Centro, Lagunetillas - Ajuterique, Comayagua","Centro, Lagunetillas - Ajuterique, Comayagua",La Cuchilla,Fausto Nahun Maldonado,Mercon Honduras,Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1368,single_value,1368.0,1368.0,False,False,False,,82.17,Good (80-84.99),7.67,7.5,7.25,7.5,7.5,7.33,7.42,10.0,10.0,10.0,10.6,0,8,0,green
172,Taiwan,Taiwan,桃園市,桃園市,金暖農場,何育達,Taiwu Coffee Cooperative,unknown,unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,600,single_value,600.0,600.0,False,False,False,,82.08,Good (80-84.99),7.5,7.67,7.33,7.5,7.25,7.33,7.5,10.0,10.0,10.0,9.7,0,0,0,bluish-green
173,Taiwan,Taiwan,苗栗縣,苗栗縣,好客農埸,彭聰明,Taiwu Coffee Cooperative,unknown,unknown,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2021 / 2022,2021,2022,2022,460,single_value,460.0,460.0,False,False,False,,82.08,Good (80-84.99),7.33,7.42,7.42,7.5,7.42,7.5,7.5,10.0,10.0,10.0,8.1,0,3,0,greenish
174,Taiwan,Taiwan,桃園市,桃園市,拉拉山祖嵐咖啡莊園,宗素霞,Taiwu Coffee Cooperative,unknown,unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,500,single_value,500.0,500.0,False,False,False,,82.0,Good (80-84.99),7.5,7.58,7.42,7.42,7.25,7.42,7.42,10.0,10.0,10.0,8.2,0,1,0,green
175,Thailand,Thailand,North of Thailand,North of Thailand,Doi Tung Development Project,Doi Tung Development Project,Doi Tung Development Project,Catimor,Catimor,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,800-1200,range_dash,1000.0,1000.0,False,False,False,,82.0,Good (80-84.99),7.17,7.5,7.42,7.42,7.58,7.5,7.42,10.0,10.0,10.0,9.8,0,0,0,green
176,Costa Rica,Costa Rica,Corralillo Tarrazu,Corralillo Tarrazu,San Diego Mill,San Diego Mill,Beneficios Volcafé Costa Rica,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2018 / 2019,2018,2019,2018,1500,single_value,1500.0,1500.0,False,False,False,,82.0,Good (80-84.99),7.42,7.42,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,10.5,1,8,2,green
177,Guatemala,Guatemala,Oriente,Oriente,Not Specificated,"Exportcafe, S.A.",Marubeni Corporation,,Unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1350-1550,range_dash,1450.0,1450.0,False,False,False,,82.0,Good (80-84.99),7.42,7.42,7.42,7.33,7.5,7.42,7.5,10.0,10.0,10.0,11.5,0,2,1,blue-green
178,Indonesia,Indonesia,Sumatra,Sumatra,Wahana Graha Makmur,PT. Wahana Graha Makmur Group,InterAmerican Coffee,,Unknown,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2022,2022,2022,2022,1350,single_value,1350.0,1350.0,False,False,False,,82.0,Good (80-84.99),7.67,7.33,7.25,7.67,7.42,7.25,7.42,10.0,10.0,10.0,12.5,0,0,0,bluish-green
179,Peru,Peru,"Chanchamayo, La Merced","Chanchamayo, La Merced",Fundo La Libertad,Sandro Crispin Espiritu,Itochu Corporation,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1600,single_value,1600.0,1600.0,False,False,False,,81.92,Good (80-84.99),7.5,7.5,7.33,7.5,7.33,7.33,7.42,10.0,10.0,10.0,11.6,0,2,2,greenish
180,Guatemala,Guatemala,Antigua,Antigua,MULTIPLE SMALLHOLDER FARMS,La Minita,"HARU International Corp, 守成咖啡",Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1200~1600,range_dash,1400.0,1400.0,False,False,False,,81.92,Good (80-84.99),7.33,7.42,7.33,7.42,7.58,7.42,7.42,10.0,10.0,10.0,10.3,0,1,0,greenish
181,Taiwan,Taiwan,桃園市,桃園市,阿拉思家,李秀圓,Taiwu Coffee Cooperative,Typica,Typica,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2021 / 2022,2021,2022,2022,300,single_value,300.0,300.0,False,False,False,,81.83,Good (80-84.99),7.25,7.42,7.42,7.5,7.42,7.42,7.42,10.0,10.0,10.0,11.3,0,0,0,green
182,Vietnam,Vietnam,Lam Dong Province,Lam Dong Province,Gaia Farms,Viet Coffee Company Limited,Brew Baby Coffee Company,Catimor,Catimor,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2022 / 2023,2022,2023,2022,5400,single_value,5400.0,1645.92,False,True,True,1645.92,81.83,Good (80-84.99),7.5,7.5,7.25,7.42,7.42,7.42,7.33,10.0,10.0,10.0,11.2,0,4,0,green
183,Brazil,Brazil,Mantiquira de minas,Mantiquira de minas,Sitio Colinas,Luis Flavio Pereira de Castro,Coffee Quality Union,Yellow Catuai,Yellow Catuai,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2022,2022,2022,2022,1000,single_value,1000.0,1000.0,False,False,False,,81.83,Good (80-84.99),7.5,7.5,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,11.3,0,2,0,pale yellow
184,Brazil,Brazil,Sul de Minas,Sul de Minas,Fazenda Olhos Dagua,Paulo Enidio Crabi,Mr.Brown Cafe,Catucai,Catucai,Natural / Dry,Natural / Dry,Natural / Dry Family,2021,2021,2021,2021,900-1000,range_dash,950.0,950.0,False,False,False,,81.75,Good (80-84.99),7.42,7.5,7.58,7.33,7.33,7.25,7.33,10.0,10.0,10.0,11.1,0,0,0,yellow-green
185,Colombia,Colombia,Santander,Santander,More than one,More than one,Mr.Brown Cafe,Santander,Santander,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1574,single_value,1574.0,1574.0,False,False,False,,81.75,Good (80-84.99),7.33,7.5,7.33,7.42,7.42,7.42,7.33,10.0,10.0,10.0,11.2,0,0,0,yellow-green
186,Mexico,Mexico,"Coatepec, Veracruz","Coatepec, Veracruz",Finca San José,José Gerardo Gutierrez Morales,La Villa Coffee Company LLC,Typica,Typica,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,81.67,Good (80-84.99),7.58,7.42,7.25,7.25,7.5,7.33,7.33,10.0,10.0,10.0,11.8,2,2,0,green
187,Costa Rica,Costa Rica,occidente,occidente,HACIENDA SAN IGNACIO,FJO ORLICH HNO LTDA,Grupo ECOM,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,81.58,Good (80-84.99),7.33,7.42,7.25,7.42,7.42,7.33,7.42,10.0,10.0,10.0,9.7,0,4,2,green
188,Taiwan,Taiwan,新北市,新北市,橫鹿,呂星輝,Taiwu Coffee Cooperative,Typica,Typica,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2021 / 2022,2021,2022,2022,300,single_value,300.0,300.0,False,False,False,,81.58,Good (80-84.99),7.42,7.5,7.33,7.33,7.33,7.33,7.33,10.0,10.0,10.0,9.0,0,0,0,yellow-green
189,Taiwan,Taiwan,臺北市,臺北市,大屯29莊園,侯奕瑋,Taiwu Coffee Cooperative,unknown,unknown,Pulped natural / honey,Pulped natural / honey,Natural / Dry Family,2021 / 2022,2021,2022,2022,435,single_value,435.0,435.0,False,False,False,,81.5,Good (80-84.99),7.33,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,8.5,0,0,0,green
190,Thailand,Thailand,North of Thailand,North of Thailand,Doi Tung Development Project,Doi Tung Development Project,Doi Tung Development Project,Java,Java,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1300-1500,range_dash,1400.0,1400.0,False,False,False,,81.42,Good (80-84.99),7.33,7.42,7.25,7.33,7.5,7.42,7.17,10.0,10.0,10.0,11.6,2,1,0,green
191,Thailand,Thailand,Chiang Rai,Chiang Rai,Doi Lan,Prakol Saelee,Taiwan Coffee Laboratory,Typica Bourbon Caturra Catimor,Typica Bourbon Caturra Catimor,Natural / Dry,Natural / Dry,Natural / Dry Family,2021,2021,2021,2021,1400,single_value,1400.0,1400.0,False,False,False,,81.33,Good (80-84.99),7.42,7.25,7.33,7.42,7.33,7.33,7.25,10.0,10.0,10.0,10.5,0,5,0,yellowish
192,Thailand,Thailand,North of Thailand,North of Thailand,Doi Tung Development Project,Doi Tung Development Project,Doi Tung Development Project,Catimor,Catimor,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,600-800,range_dash,700.0,700.0,False,False,False,,81.17,Good (80-84.99),7.25,7.25,7.42,7.25,7.42,7.42,7.17,10.0,10.0,10.0,10.4,0,0,0,green
193,Colombia,Colombia,Cauca,Cauca,Escalera,Escalera,Coffee Quality Union,"Caturra,Colombia,Castillo","Caturra,Colombia,Castillo",Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1300-1800,range_dash,1550.0,1550.0,False,False,False,,81.17,Good (80-84.99),7.42,7.25,7.25,7.42,7.17,7.33,7.33,10.0,10.0,10.0,11.4,0,2,2,greenish
194,Brazil,Brazil,Alta Mogiana-Ibiraci,Alta Mogiana-Ibiraci,Various farm,Cocapil,Marubeni Corporation,,Unknown,Natural / Dry,Natural / Dry,Natural / Dry Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,81.0,Good (80-84.99),7.42,7.42,7.25,7.25,7.17,7.25,7.25,10.0,10.0,10.0,10.6,0,1,2,greenish
195,El Salvador,El Salvador,"Volcan Chinchontepek, San Vicente, El Salvador","Volcan Chinchontepek, San Vicente, El Salvador","Rosario de Maria II, Area de Loma Alta",Roselia Yglesias,Aprentium Enterprises LLC,Bourbon,Bourbon,Natural / Dry,Natural / Dry,Natural / Dry Family,2023,2023,2023,2023,1400,single_value,1400.0,1400.0,False,False,False,,80.83,Good (80-84.99),7.42,7.33,7.33,7.5,7.08,7.0,7.17,10.0,10.0,10.0,10.5,0,7,8,bluish-green
196,Nicaragua,Nicaragua,,nan,EXPORTADORA ATLANTIC S.A,Varios Productores,ISHIMITSU,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1100,single_value,1100.0,1100.0,False,False,False,,80.5,Good (80-84.99),7.25,7.25,7.17,7.33,7.08,7.25,7.17,10.0,10.0,10.0,11.5,0,3,1,greenish
197,Nicaragua,Nicaragua,Jinotega,Jinotega,Sajonia Estate Coffee S.A.,Sajonia Estate Coffee S.A.,SAJONIA ESTATE COFFEE S.A.,Sarchimor,Sarchimor,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1000,single_value,1000.0,1000.0,False,False,False,,80.42,Good (80-84.99),7.42,7.17,7.0,7.08,7.42,7.17,7.17,10.0,10.0,10.0,11.2,0,5,0,green
198,Colombia,Colombia,"Caicedonia,Valle del Cauca","Caicedonia,Valle del Cauca",Finca Mallorca,Finca Mallorca,Coffee Quality Union,"Castillo,Caturra,Bourbon","Castillo,Caturra,Bourbon",Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,1600,single_value,1600.0,1600.0,False,False,False,,80.42,Good (80-84.99),7.25,7.25,7.17,7.33,7.0,7.17,7.25,10.0,10.0,10.0,11.0,0,3,3,greenish
199,Peru,Peru,"Chanchamayo, Lamerced","Chanchamayo, Lamerced",Fundo La Libertad,Sandro Crispin Espiritu,Itochu Corporation,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1600,single_value,1600.0,1600.0,False,False,False,,80.33,Good (80-84.99),7.5,7.25,7.17,7.17,7.17,7.08,7.0,10.0,10.0,10.0,11.8,0,11,6,greenish
200,El Salvador,El Salvador,"Volcan Chinchontepek, San Vicente, El Salvador","Volcan Chinchontepek, San Vicente, El Salvador","Rosario de Maria II, Area de Menjivar",Roselia Yglesias,Aprentium Enterprises LLC,Pacas,Pacas,Natural / Dry,Natural / Dry,Natural / Dry Family,2023,2023,2023,2023,1300,single_value,1300.0,1300.0,False,False,False,,80.33,Good (80-84.99),7.08,7.25,7.08,7.42,7.42,7.08,7.0,10.0,10.0,10.0,11.5,0,7,10,bluish-green
201,Brazil,Brazil,Alta Mogiana-Ibiraci,Alta Mogiana-Ibiraci,Various farm,COCAPIL,marubeni,Catuai and Mundo Novo,Catuai and Mundo Novo,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,80.17,Good (80-84.99),7.25,7.17,7.17,7.08,7.17,7.17,7.17,10.0,10.0,10.0,11.6,0,2,1,greenish
202,Brazil,Brazil,Sul de Minas,Sul de Minas,Fazenda Conquista,Ipanema Coffees,Ipanema Coffees,Mundo Novo,Mundo Novo,Natural / Dry,Natural / Dry,Natural / Dry Family,2022 / 2023,2022,2023,2022,950,single_value,950.0,950.0,False,False,False,,80.08,Good (80-84.99),7.17,7.17,6.92,7.17,7.42,7.17,7.08,10.0,10.0,10.0,11.4,0,4,0,green
203,Nicaragua,Nicaragua,Matagalpa,Matagalpa,Finca San Felipe,Exportadora Atlantic S.A.,Exportadora Atlantic S.A,SHG,SHG,Natural / Dry,Natural / Dry,Natural / Dry Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,80.0,Good (80-84.99),7.33,7.08,6.75,7.17,7.42,7.17,7.08,10.0,10.0,10.0,10.4,0,12,2,green
204,Laos,Laos,Bolaven Plateau,Bolaven Plateau,-,"LAO MINH TIEN COFFEE SOLE CO.,LTD",Marubeni Corporation,Catimor,Catimor,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1300,single_value,1300.0,1300.0,False,False,False,,79.67,Fair (75-79.99),7.25,7.17,7.08,7.0,7.08,7.08,7.0,10.0,10.0,10.0,11.6,0,11,9,green
205,El Salvador,El Salvador,"Volcan de San Vicente, La Paz, El Salvador","Volcan de San Vicente, La Paz, El Salvador","Rosario de Maria II, Area de La Pila",Roselia Yglesias,Aprentium Enterprises LLC,Maragogype,Maragogype,Natural / Dry,Natural / Dry,Natural / Dry Family,2023,2023,2023,2023,1200,single_value,1200.0,1200.0,False,False,False,,78.08,Fair (75-79.99),6.5,6.75,6.75,7.17,7.08,7.0,6.83,10.0,10.0,10.0,11.0,0,13,12,bluish-green
206,Brazil,Brazil,Minas Gerais,Minas Gerais,Walter Matter,Walter Matter,Descafeinadores Mexicano SA. de CV,Mundo Novo,Mundo Novo,SEMI-LAVADO,SEMI-LAVADO,Washed / Wet Family,2021 / 2022,2021,2022,2022,850-1100,range_dash,975.0,975.0,False,False,False,,78.0,Fair (75-79.99),7.25,7.08,6.67,6.83,6.83,6.67,6.67,10.0,10.0,10.0,11.3,0,1,0,green
